Reporting Entity,Facility Name,Type,State,Electricity Production (GJ),ACTUAL_GEN,EMISSION,EMISSION_SCOPE_2,TOTAL_EMISSION,EMISSION INTENSITY,Grid Connected,Grid,FUELTYPE,Important Notes
SPIC PACIFIC ENERGY PTY LTD,William Hovell Hydro,F,VIC,"17,785","4,940",3,0,3,0,On,NEM,Hydro,-
SPIC PACIFIC ENERGY PTY LTD,Yaloak South Wind Farm,F,VIC,"326,343","90,651",26,0,26,0,On,NEM,Wind,-
SPIC PACIFIC ENERGY PTY LTD,Yambuk Wind Farm,F,VIC,"351,243","97,568",27,0,27,0,On,NEM,Wind,-
SPIC PACIFIC ENERGY PTY LTD,Corporate Total,C,-,"7,112,695","1,975,749",522,39,561,-,-,-,-,-
SRV AGWF PTY LTD,Albany Windfarm,F,WA,"336,517","93,477",12,14,26,0,On,SWIS,Wind,-
SRV AGWF PTY LTD,Corporate Total,C,-,"336,517","93,477",12,14,26,-,-,-,-,-
STANWELL CORPORATION LIMITED,Barron Gorge Power Station,F,QLD,"228,877","63,577",330,178,508,0.01,On,NEM,Hydro,-
STANWELL CORPORATION LIMITED,Kareeya Power Station,F,QLD,"665,031","184,731",27,67,94,0,On,NEM,Hydro,-
STANWELL CORPORATION LIMITED,Mackay Gas Turbine,F,QLD,529,147,234,4,238,1.59,On,NEM,Diesel,-
STANWELL CORPORATION LIMITED,Mica Creek Power Station,F,QLD,"1,545,503","429,306","217,473",0,"217,473",0.51,On,Mt Isa,Gas,-
STANWELL CORPORATION LIMITED,Stanwell Power Station,F,QLD,"29,874,970","8,298,603","7,138,311","7,881","7,146,192",0.86,On,NEM,Black Coal,-
STANWELL CORPORATION LIMITED,Tarong Power Stations,F,QLD,"39,966,989","11,101,942","9,770,532","55,096","9,825,628",0.88,On,NEM,Black Coal,-
STANWELL CORPORATION LIMITED,Corporate Total,C,-,"72,281,898","20,078,305","17,126,907","63,226","17,190,133",-,-,-,-,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Coopers Cogeneration,F,SA,"87,599","24,333","19,168",0,"19,168",0.79,On,NEM,Gas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Glenorchy Landfill,F,TAS,"26,853","7,459",293,0,293,0.04,On,NEM,Landfill Gas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Hobart Landfill,F,TAS,"18,980","5,272",346,0,346,0.07,On,NEM,Landfill Gas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Kemps Creek Landfill,F,NSW,"8,792","2,442",113,0,113,0.05,On,NEM,Landfill Gas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Kincumber Landfill,F,NSW,"5,347","1,485",85,0,85,0.06,On,NEM,Landfill Gas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Moranbah Power Station,F,QLD,"329,950","91,653","51,873",0,"51,873",0.57,On,NEM,Coal Seam Methane,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Rockingham Landfill,F,WA,"49,902","13,862","1,443",0,"1,443",0.1,On,SWIS,Landfill Gas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Werribee Biogas,F,VIC,"243,495","67,637","3,222",0,"3,222",0.05,On,NEM,Sludge Biogas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Woy Woy Landfill,F,NSW,"23,420","6,506",353,0,353,0.05,On,NEM,Landfill Gas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Corporate Total,C,-,"794,337","220,649","76,896",0,"76,896",-,-,-,-,-
SWF1 OPERATIONS HOLDINGS PTY LTD,SWF 1 Operations Holdings Pty Ltd,F,NSW,"2,742,313","761,754",46,0,46,0,On,NEM,Wind,-
SWF1 OPERATIONS HOLDINGS PTY LTD,Corporate Total,C,-,"2,742,313","761,754",46,0,46,-,-,-,-,-
TASMANIAN IRRIGATION PTY LTD,Midlands Power Station,F,TAS,"141,987","39,441",0,0,0,0,On,NEM,Hydro,-
TASMANIAN IRRIGATION PTY LTD,Corporate Total,C,-,"141,987","39,441",0,0,0,-,-,-,-,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,F,WA,"1,021,701","283,806","159,388",0,"159,388",0.56,On,SWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,F,WA,"1,032,685","286,857","157,625",0,"157,625",0.55,On,SWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,F,WA,"1,133,138","314,761","162,075",0,"162,075",0.51,Off,Off-grid,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,F,WA,"1,235,695","343,249","199,198",0,"199,198",0.58,Off,Off-grid,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,South Hedland Power Station,F,WA,"1,716,375","476,771","242,484",0,"242,484",0.51,On,NWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,-,"6,139,594","1,705,443","920,770",0,"920,770",-,-,-,-,-
